ShortName,Counts,Compare_Count,inconsistent vector,d (median),AV_Diff,AV_PMDC,AC_Diff,AC_PMDC,PR_Diff,PR_PMDC,UI_Diff,UI_PMDC,S_Diff,S_PMDC,C_Diff,C_PMDC,I_Diff,I_PMDC,A_Diff,A_PMDC
Trend Micro,29,8,4,0,2,0.25,1,0.125,1,0.125,0,0.0,2,0.25,1,0.125,1,0.125,1,0.125
Amazon,14,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Mitsubishi Electric,63,46,27,1,2,0.0435,15,0.3261,5,0.1087,1,0.0217,12,0.2609,6,0.1304,3,0.0652,5,0.1087
KrCERT/CC,144,143,105,1,52,0.3636,22,0.1538,17,0.1189,46,0.3217,18,0.1259,9,0.0629,11,0.0769,13,0.0909
JPCERT/CC,38,12,6,0,0,0.0,0,0.0,1,0.0833,0,0.0,0,0.0,4,0.3333,5,0.4167,0,0.0
CERT.PL,24,14,5,0,3,0.2143,0,0.0,2,0.1429,0,0.0,2,0.1429,2,0.1429,1,0.0714,3,0.2143
Genetec,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Check Point,2,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
WatchGuard,7,5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GitLAb,867,834,536,1,38,0.0456,197,0.2362,137,0.1643,118,0.1415,116,0.1391,172,0.2062,169,0.2026,147,0.1763
Google LLC,164,159,94,1,20,0.1258,54,0.3396,24,0.1509,19,0.1195,23,0.1447,24,0.1509,26,0.1635,32,0.2013
TIBCO,96,90,66,1,4,0.0444,11,0.1222,7,0.0778,7,0.0778,41,0.4556,24,0.2667,25,0.2778,19,0.2111
Robert Bosch,91,88,59,1,10,0.1136,17,0.1932,10,0.1136,8,0.0909,15,0.1705,14,0.1591,15,0.1705,20,0.2273
Avaya,28,28,23,2,8,0.2857,6,0.2143,9,0.3214,7,0.25,11,0.3929,4,0.1429,3,0.1071,8,0.2857
Tigera,4,3,2,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333,2,0.6667,1,0.3333
OpenText,123,89,74,3,19,0.2135,34,0.382,40,0.4494,27,0.3034,30,0.3371,27,0.3034,32,0.3596,26,0.2921
Fortinet,603,550,331,1,48,0.0873,81,0.1473,90,0.1636,24,0.0436,57,0.1036,131,0.2382,110,0.2,94,0.1709
Dell,940,872,573,1,38,0.0436,204,0.2339,98,0.1124,106,0.1216,154,0.1766,166,0.1904,155,0.1778,217,0.2489
