ShortName,Counts,Compare_Count,inconsistent vector,d (median),AV_Diff,AV_PMDC,AC_Diff,AC_PMDC,PR_Diff,PR_PMDC,UI_Diff,UI_PMDC,S_Diff,S_PMDC,C_Diff,C_PMDC,I_Diff,I_PMDC,A_Diff,A_PMDC,G_I_CNA,G_C_CNA,G_I_NVD,G_C_NVD,Odds_Ratio,Num_CNA_Groups,Mean_CNA_Entropy,Num_NVD_Groups,Mean_NVD_Entropy,Equal_Severity,CNA_Higher,NVD_Higher,CNA_Critical,NVD_Critical,Role,Vendor,Open Source,Researcher,Bug Bounty Provider,Hosted Service,CERT,Consortium,Country
Western Digital,44,43,32,2,15,0.3488,19,0.4419,11,0.2558,5,0.1163,11,0.2558,10,0.2326,7,0.1628,15,0.3488,,,,,,,,,,26,2,15,1,8,CNA,1,0,0,0,0,0,0,USA
HashiCorp,57,42,32,2,2,0.0476,6,0.1429,19,0.4524,8,0.1905,19,0.4524,11,0.2619,6,0.1429,7,0.1667,,,,,,,,,,28,4,10,0,0,CNA,1,0,0,0,0,0,0,USA
ISC,58,42,8,0,1,0.0238,4,0.0952,1,0.0238,1,0.0238,1,0.0238,0,0,1,0.0238,0,0,,,,,,,,,,36,1,5,0,1,CNA,1,1,0,0,0,0,0,USA
Puiterwijk,79,42,34,2,9,0.2143,6,0.1429,15,0.3571,12,0.2857,9,0.2143,14,0.3333,15,0.3571,6,0.1429,,,,,,,,,,24,3,15,2,1,,,,,,,,,
Tenable,71,42,24,1,5,0.119,4,0.0952,4,0.0952,3,0.0714,9,0.2143,5,0.119,10,0.2381,8,0.1905,,,,,,,,,,29,3,10,2,3,CNA,1,0,0,0,0,0,0,USA
DIVD,42,42,26,1,0,0,1,0.0238,3,0.0714,3,0.0714,17,0.4048,6,0.1429,9,0.2143,8,0.1905,,,,,,,,,,25,16,1,10,0,CNA,0,0,1,0,0,0,0,Netherlands
Silicon Labs,77,41,33,1,9,0.2195,14,0.3415,14,0.3415,1,0.0244,8,0.1951,8,0.1951,3,0.0732,5,0.122,,,,,,,,,,19,6,16,3,4,CNA,1,0,0,0,0,0,0,USA
TML,45,41,26,1,0,0,1,0.0244,2,0.0488,7,0.1707,8,0.1951,8,0.1951,7,0.1707,19,0.4634,0,1,0,1,0,1,0,1,0,33,6,2,0,1,CNA,0,0,1,0,0,0,0,Australia
Zabbix,56,41,34,2,2,0.0488,12,0.2927,13,0.3171,7,0.1707,22,0.5366,12,0.2927,11,0.2683,15,0.3659,,,,,,,,,,19,6,16,5,5,CNA,1,0,0,0,0,0,0,Latvia
CERT-In,43,40,30,2,1,0.025,0,0,24,0.6,0,0,1,0.025,2,0.05,24,0.6,2,0.05,,,,,,,,,,35,0,5,0,3,CNA,0,0,0,0,0,1,0,India
Schweitzer,41,40,40,3,8,0.2,4,0.1,27,0.675,9,0.225,29,0.725,8,0.2,7,0.175,21,0.525,1,2,0,3,inf,3,0.3333,3,0,27,5,8,2,3,CNA,1,0,0,0,0,0,0,USA
Zohocorp,55,39,33,1,0,0,0,0,1,0.0256,3,0.0769,3,0.0769,4,0.1026,5,0.1282,29,0.7436,,,,,,,,,,35,2,2,0,1,CNA,1,0,0,0,0,0,0,India
Moxa,48,39,25,1,0,0,5,0.1282,10,0.2564,3,0.0769,2,0.0513,7,0.1795,9,0.2308,5,0.1282,,,,,,,,,,23,1,15,0,7,CNA,1,0,0,0,0,0,0,Taiwan
Secomea,42,38,28,1,5,0.1316,10,0.2632,5,0.1316,6,0.1579,14,0.3684,8,0.2105,6,0.1579,10,0.2632,,,,,,,,,,21,8,9,4,0,CNA,1,0,0,0,0,0,0,Denmark
Gallagher,50,37,26,1,1,0.027,3,0.0811,4,0.1081,1,0.027,6,0.1622,6,0.1622,15,0.4054,12,0.3243,,,,,,,,,,19,11,7,4,1,CNA,1,0,0,0,0,0,0,New Zealand
Exodus Intelligence,37,37,33,1,23,0.6216,3,0.0811,0,0,0,0,20,0.5405,3,0.0811,6,0.1622,5,0.1351,,,,,,,,,,28,7,2,7,1,CNA,0,0,1,1,0,0,0,USA
AMD,54,36,28,1,7,0.1944,15,0.4167,10,0.2778,5,0.1389,12,0.3333,7,0.1944,6,0.1667,7,0.1944,1,1,0,2,inf,2,0.5,2,0,20,2,14,0,3,CNA,1,0,0,0,0,0,0,USA
Palantir,39,36,26,1,2,0.0556,7,0.1944,7,0.1944,7,0.1944,3,0.0833,5,0.1389,12,0.3333,6,0.1667,,,,,,,,,,22,5,9,1,1,CNA,1,0,0,0,0,0,0,USA
Ping Identity,40,36,32,2,2,0.0556,16,0.4444,10,0.2778,13,0.3611,11,0.3056,8,0.2222,8,0.2222,8,0.2222,,,,,,,,,,21,7,8,0,4,CNA,0,0,1,1,1,0,0,USA
GitHub product,44,35,25,2,0,0,9,0.2571,11,0.3143,7,0.2,10,0.2857,10,0.2857,6,0.1714,9,0.2571,,,,,,,,,,23,5,7,0,1,CNA,1,0,0,0,0,0,0,USA
SICK AG,43,34,16,0,1,0.0294,4,0.1176,1,0.0294,0,0,2,0.0588,5,0.1471,4,0.1176,9,0.2647,,,,,,,,,,25,4,5,3,2,CNA,1,0,0,0,0,0,0,Germany
Elastic,50,34,26,1,10,0.2941,12,0.3529,9,0.2647,3,0.0882,9,0.2647,2,0.0588,5,0.1471,4,0.1176,,,,,,,,,,17,6,11,3,1,CNA,1,0,0,0,0,0,0,Netherlands
Hitachi,43,33,28,2,2,0.0606,6,0.1818,5,0.1515,2,0.0606,6,0.1818,12,0.3636,17,0.5152,13,0.3939,,,,,,,,,,16,4,13,2,2,CNA,1,0,0,0,0,0,0,Japan
STAR Labs SG,34,33,15,0,3,0.0909,3,0.0909,4,0.1212,1,0.0303,5,0.1515,4,0.1212,3,0.0909,3,0.0909,,,,,,,,,,26,3,4,2,3,CNA,0,0,1,0,0,0,0,Singapore
CERT/CC,33,33,19,1,2,0.0606,5,0.1515,4,0.1212,9,0.2727,8,0.2424,5,0.1515,3,0.0909,8,0.2424,1,0,0,1,inf,1,1,1,0,25,2,6,1,3,CNA,0,0,0,0,0,1,0,USA
JFrog,57,33,23,1,0,0,18,0.5455,3,0.0909,1,0.0303,4,0.1212,5,0.1515,4,0.1212,4,0.1212,,,,,,,,,,16,0,17,0,5,CNA,1,0,1,0,0,0,0,Israel
Autodesk,98,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,31,0,0,0,0,CNA,1,0,0,0,0,0,0,USA
Eclipse,40,31,18,1,2,0.0645,9,0.2903,7,0.2258,6,0.1935,3,0.0968,3,0.0968,2,0.0645,5,0.1613,,,,,,,,,,19,1,11,1,3,CNA,1,1,0,0,0,0,0,Belgium
AMI,34,30,26,2,9,0.3,13,0.4333,15,0.5,5,0.1667,15,0.5,0,0,0,0,2,0.0667,0,4,0,4,0,4,0,4,0,21,3,6,3,3,CNA,1,1,1,0,0,0,0,USA
Honor Device,42,30,30,3,4,0.1333,2,0.0667,22,0.7333,3,0.1,10,0.3333,17,0.5667,15,0.5,17,0.5667,6,1,2,5,15,7,1.4143,7,0.219,12,2,16,1,1,CNA,1,0,0,0,0,0,0,China
M-Files,32,29,24,1,2,0.069,5,0.1724,8,0.2759,5,0.1724,8,0.2759,4,0.1379,7,0.2414,5,0.1724,1,0,1,0,,1,1,1,1,16,2,11,0,2,CNA,1,0,0,0,0,0,0,Finland
Sophos,33,29,9,0,3,0.1034,1,0.0345,2,0.069,0,0,5,0.1724,4,0.1379,3,0.1034,2,0.069,,,,,,,,,,24,0,5,0,0,CNA,1,0,0,0,0,0,0,UK
Pandora FMS,33,29,29,4,10,0.3448,15,0.5172,22,0.7586,10,0.3448,15,0.5172,8,0.2759,10,0.3448,21,0.7241,,,,,,,,,,15,4,10,1,2,CNA,1,0,0,0,0,0,0,Spain
Avaya,28,28,23,2,8,0.2857,6,0.2143,9,0.3214,7,0.25,11,0.3929,4,0.1429,3,0.1071,8,0.2857,,,,,,,,,,21,4,3,0,1,CNA,1,0,0,0,0,0,0,USA
Arista,44,28,22,2,3,0.1071,4,0.1429,6,0.2143,0,0,7,0.25,15,0.5357,4,0.1429,10,0.3571,1,1,0,2,inf,2,0.5,2,0,15,5,8,4,2,CNA,1,0,0,0,0,0,0,USA
